measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,153,Syrian Arab Republic,3,Both,24,15-49 years,558,Mental disorders,1,Number,2014,0.007087227927225941,0.034746798874069534,0.0012625231586460542
1,Deaths,153,Syrian Arab Republic,3,Both,24,15-49 years,558,Mental disorders,2,Percent,2014,9.603869736046518e-08,4.805458745131339e-07,1.7241783354624895e-08
1,Deaths,153,Syrian Arab Republic,3,Both,24,15-49 years,558,Mental disorders,3,Rate,2014,6.296334339235977e-05,0.0003086925737055606,1.1216328865798596e-05
1,Deaths,522,Sudan,3,Both,24,15-49 years,558,Mental disorders,1,Number,2015,0.006704566263273121,0.031159792457895984,0.0011600278150350719
1,Deaths,522,Sudan,3,Both,24,15-49 years,558,Mental disorders,2,Percent,2015,1.736236629529234e-07,8.178134724961092e-07,2.946906970551024e-08
1,Deaths,522,Sudan,3,Both,24,15-49 years,558,Mental disorders,3,Rate,2015,4.162521018947802e-05,0.00019345515572356058,7.2020172119087585e-06
1,Deaths,522,Sudan,3,Both,24,15-49 years,558,Mental disorders,1,Number,2014,0.0061892323110494096,0.030982322287587613,0.0010389531840317694
1,Deaths,522,Sudan,3,Both,24,15-49 years,558,Mental disorders,2,Percent,2014,1.654781802458169e-07,7.989566321141015e-07,2.8683476471589196e-08
1,Deaths,522,Sudan,3,Both,24,15-49 years,558,Mental disorders,3,Rate,2014,3.9219512718440355e-05,0.00019632670449864448,6.583568941539571e-06
1,Deaths,142,Iran (Islamic Republic of),3,Both,24,15-49 years,558,Mental disorders,1,Number,2014,0.15594625542527166,0.2817007017628474,0.08172181687143908
1,Deaths,142,Iran (Islamic Republic of),3,Both,24,15-49 years,558,Mental disorders,2,Percent,2014,2.73980931750176e-06,5.0027414931523965e-06,1.4539390549124097e-06
1,Deaths,142,Iran (Islamic Republic of),3,Both,24,15-49 years,558,Mental disorders,3,Rate,2014,0.00033031541196201243,0.0005966804595534,0.00017309794026512467
1,Deaths,157,Yemen,3,Both,24,15-49 years,558,Mental disorders,1,Number,2016,0.0036976260909249775,0.02231882023875463,0.0006206987086770563
1,Deaths,157,Yemen,3,Both,24,15-49 years,558,Mental disorders,2,Percent,2016,1.1513582463250114e-07,7.089045597475025e-07,1.9157299884309716e-08
1,Deaths,157,Yemen,3,Both,24,15-49 years,558,Mental disorders,3,Rate,2016,2.5904774787378187e-05,0.0001563608643999715,4.348481935087536e-06
1,Deaths,142,Iran (Islamic Republic of),3,Both,24,15-49 years,558,Mental disorders,1,Number,2015,0.21857190320764752,0.3851051001035012,0.12282499367532923
1,Deaths,142,Iran (Islamic Republic of),3,Both,24,15-49 years,558,Mental disorders,2,Percent,2015,3.7975284548062828e-06,6.743086367803924e-06,2.1487217240908005e-06
1,Deaths,142,Iran (Islamic Republic of),3,Both,24,15-49 years,558,Mental disorders,3,Rate,2015,0.000461413959953683,0.0008129721461422439,0.00025928843497866766
1,Deaths,153,Syrian Arab Republic,3,Both,24,15-49 years,558,Mental disorders,1,Number,2017,0.005916854796827564,0.030048609837834344,0.0010035457783229165
